Ingredient Name,Primary Search Query,Alternative Search,Image Style,Quick Notes
B-Complex Vitamins,whole grains seeds,vitamin pills supplements,Food Source,Show variety of B-rich foods
Biotin,eggs almonds,hair growth healthy,Food Source,Biotin-rich foods or hair health
Methyl Folate,leafy greens spinach,green vegetables nutrition,Food Source,Dark leafy greens
Niacin,chicken breast nuts,protein nutrition,Food Source,Niacin-rich protein foods
Vitamin B12,salmon fish nutrition,red supplement capsules,Food Source,Fish or red capsules
Vitamin C,fresh oranges citrus,colorful fruits vitamin,Food Source,Bright citrus fruits - iconic!
Vitamin D3,sunlight vitamin supplements,sunshine rays light,Natural Source,Sunlight or golden rays
Vitamin E,almonds nuts seeds,vitamin e oil,Food Source,Nuts and seeds
Vitamin K-2 MK-7,fermented foods natto,green leafy vegetables,Food Source,Fermented foods or greens
Natural Vitamin E Complex,mixed nuts seeds,natural supplements,Food Source,Variety of nuts
Gamma Tocopherol,sesame seeds oil,natural oils wellness,Food Source,Seeds or golden oil
Mixed Tocopherols,variety nuts wellness,supplement capsules natural,Food Source,Mixed nuts
Mixed Tocotrienols,palm oil rice,golden supplements,Abstract,Golden oil or abstract
Calcium,dairy milk yogurt,bones health strong,Food Source,Dairy products
Iodine,seaweed ocean kelp,sea vegetables,Natural Source,Seaweed or kelp
Iron,spinach leafy greens,red meat nutrition,Food Source,Dark leafy greens
Magnesium,dark chocolate almonds,green leafy vegetables,Food Source,Chocolate, nuts, or greens
Potassium,bananas avocado nutrition,fresh fruits vegetables,Food Source,Bananas or avocados
Zinc,oysters seafood nutrition,pumpkin seeds nuts,Food Source,Oysters or seeds
5-HTP,supplement capsules wellness,abstract brain health,Abstract,Calming capsules
Acetyl L-Carnitine,energy supplements capsules,brain energy wellness,Abstract,Energy capsules
Amino Acid Complex,protein powder fitness,molecular structure abstract,Abstract,Protein powder
Branched Chain Amino Acid Complex,fitness protein supplements,muscle recovery wellness,Abstract,Athletic supplements
Carnitine,energy supplement capsules,red meat nutrition,Abstract,Red capsules or energy
Essential Amino Acids,protein sources variety,nutrition wellness supplements,Food Source,Variety of proteins
Glutamine,white powder supplement,gut health wellness,Abstract,White powder
Glycine,collagen powder white,sleep wellness supplement,Abstract,White powder or sleep
Lysine,supplement capsules health,immune wellness,Abstract,Immune capsules
Taurine,energy supplement wellness,heart health capsules,Abstract,Energy or heart health
Theanine,green tea leaves,calm relaxation wellness,Natural Source,Green tea leaves
Algal Oil,algae spirulina green,omega supplement vegan,Natural Source,Green algae
DHA,fish oil omega,brain health supplements,Natural Source,Fish oil or brain health
DPA,omega fatty acids,golden oil capsules,Abstract,Golden oil capsules
EPA,salmon fish omega,fish oil capsules,Food Source,Salmon or fish oil
Evening Primrose Oil,primrose flower yellow,golden oil wellness,Botanical,Yellow primrose flowers
Fish Oil,omega capsules golden,salmon fish nutrition,Abstract,Golden softgels - iconic!
Omega-3,fish oil softgels,salmon nutrition omega,Abstract,Golden omega capsules
Pumpkin Seed Oil,pumpkin seeds green,green oil wellness,Natural Source,Green pumpkin seeds
Soy Lecithin Granules,soy lecithin granules,soybean nutrition,Food Source,Lecithin granules
Soy Lecithin Oil,soybean oil golden,plant oil wellness,Food Source,Golden soy oil
Ashwagandha,ashwagandha root plant,adaptogen herbs wellness,Botanical,Root or plant
Asian Ginseng,ginseng root asian,herbal energy wellness,Botanical,Distinctive ginseng root
Astragalus,astragalus root herb,immune herbs wellness,Botanical,Root slices
Bacopa Monnieri,bacopa plant green,brain herbs wellness,Botanical,Small green leaves
Bilberry,bilberry blue berries,blueberries fresh fruit,Natural Source,Blue berries
Black Cohosh,black cohosh plant,herbal medicine wellness,Botanical,Plant or root
Butcher's Broom,butchers broom plant,herbal circulation wellness,Botanical,Plant
Chamomile,chamomile flowers white,herbal tea relaxation,Botanical,White daisy-like flowers
Cinnamon,cinnamon sticks spice,cinnamon bark powder,Natural Source,Cinnamon sticks - warm
Damiana,damiana plant leaves,herbal wellness botanical,Botanical,Plant leaves
Dong Quai,dong quai root,angelica root herb,Botanical,Root slices
Echinacea,echinacea purple flower,coneflower immune wellness,Botanical,Purple coneflower - iconic!
Elderberry,elderberry dark berries,black berries immune,Natural Source,Dark berries on branch
Eleuthero,eleuthero root ginseng,adaptogen root herb,Botanical,Root or plant
Garlic,fresh garlic bulb,garlic cloves white,Food Source,White garlic bulbs
Ginger,ginger root fresh,ginger sliced spice,Natural Source,Fresh ginger root
Ginkgo biloba,ginkgo leaves golden,ginkgo biloba tree,Botanical,Fan-shaped leaves - iconic!
Goldenseal,goldenseal root yellow,herbal medicine wellness,Botanical,Yellow root
Hops,hops flower green,hop cones brewing,Botanical,Green hop cones
Horse Chestnut Seed Extract,horse chestnut seed,conker seed brown,Botanical,Brown seeds
Oregano,fresh oregano leaves,oregano herb green,Botanical,Fresh oregano plant
Passionflower,passionflower purple bloom,passiflora flower exotic,Botanical,Exotic purple flower
Peppermint Oil,peppermint leaves fresh,mint essential oil,Botanical,Fresh peppermint
Rhodiola rosea,rhodiola plant yellow,rhodiola root adaptogen,Botanical,Yellow flowers
Rosemary,fresh rosemary herb,rosemary sprigs green,Botanical,Needle-like leaves
Saffron Extract,saffron threads red,saffron spice golden,Natural Source,Red threads - luxury
Sage,sage leaves fresh,sage herb green,Botanical,Soft green/gray leaves
Saw Palmetto,saw palmetto berries,palmetto plant wellness,Botanical,Berries or plant
Spearmint Oil,spearmint leaves fresh,mint leaves green,Botanical,Fresh spearmint
Tea,tea leaves green,tea plantation natural,Natural Source,Tea leaves or plantation
Thyme,fresh thyme herb,thyme sprigs green,Botanical,Small leaves on sprigs
Turmeric (Curcumin),turmeric root golden,turmeric powder orange,Natural Source,Golden root or powder
Valerian,valerian root plant,valerian flower pink,Botanical,Root or pink flowers
Vitex Agnus,vitex chasteberry purple,vitex plant berries,Botanical,Purple berries
Alpha Lipoic Acid,supplement capsules yellow,antioxidant wellness abstract,Abstract,Yellow capsules
Astaxanthin,red algae astaxanthin,salmon red pigment,Natural Source,Red algae or salmon
Citrus Bioflavonoid Complex,citrus fruits colorful,orange peel vitamins,Food Source,Variety of citrus
Coenzyme Q-10,coq10 supplements capsules,heart health wellness,Abstract,CoQ10 capsules
EGCG,green tea matcha,tea leaves antioxidant,Natural Source,Green tea or matcha
Glutathione,antioxidant supplement capsules,detox wellness health,Abstract,White capsules
Grape Seed Extract,grape seeds extract,red grapes antioxidant,Natural Source,Grape seeds or grapes
Green Tea Extract,green tea leaves,matcha powder green,Natural Source,Tea leaves or matcha
Lutein,yellow capsules supplements,eye health wellness,Abstract,Yellow/orange capsules
Lycopene,tomatoes red fresh,watermelon red fruit,Food Source,Red tomatoes
N-Acetyl Cysteine,white supplement capsules,respiratory wellness health,Abstract,White capsules
Pine Bark,pine bark texture,pine tree forest,Botanical,Bark texture
PQQ,energy supplement capsules,mitochondria wellness abstract,Abstract,Energy capsules
Quercetin,onions apples quercetin,yellow supplement capsules,Food Source,Onions or apples
Resveratrol,red wine grapes,purple grapes antioxidant,Food Source,Red wine or grapes
Zeaxanthin,orange peppers vegetables,eye health supplements,Food Source,Orange peppers
Bifidobacterium Lactis,probiotic bacteria microscope,gut health wellness,Scientific,Microscopic bacteria
Digestive Enzymes,digestive enzymes capsules,digestion wellness health,Abstract,Capsules
Probiotics,probiotic capsules supplements,fermented foods yogurt,Abstract,Probiotic capsules
Collagen,collagen powder white,skin health beauty,Abstract,White collagen powder
Fermented Pea & Rice Protein,pea protein powder,plant protein vegan,Food Source,Pea protein powder
Free Range Collagen Peptides,collagen peptides powder,grass fed wellness,Abstract,Collagen powder
Marine Collagen Peptides,fish collagen ocean,marine wellness supplements,Natural Source,Ocean or fish imagery
Protein,protein powder fitness,protein sources variety,Abstract,Protein powder
Soy Protein,soybeans edamame nutrition,soy protein powder,Food Source,Soybeans or edamame
Whey Protein,whey protein powder,milk dairy nutrition,Abstract,Whey protein powder
Acai Berry,acai berries purple,acai bowl superfood,Natural Source,Dark purple berries
Aloe Vera,aloe vera plant,aloe leaf green,Botanical,Fresh aloe plant
Apple,fresh red apples,green apples nutrition,Food Source,Fresh whole apples
Barley Grass,barley grass green,wheat grass juice,Botanical,Fresh green grass
Bergamot,bergamot citrus fruit,bergamot orange green,Natural Source,Bergamot citrus
Black Currant,black currant berries,dark berries antioxidant,Natural Source,Dark berries
Blackberry,fresh blackberries,blackberry fruit dark,Food Source,Fresh blackberries
