Search Term,Title,Intro (1-2 sentences),Body Paragraph 1,Body Paragraph 2,Quick Filter 1,Quick Filter 2,Quick Filter 3,Quick Filter 4,Notes
Sleep,"Let's talk about better sleep","[Andrew: Write your opening - acknowledge their sleep struggles and what you've learned]","[Andrew: Explain what causes sleep issues and what the body needs]","[Andrew: Explain your products and what to expect]",😴 Falling Asleep,🌙 Staying Asleep,⭐ Sleep Quality,All,"[Any special notes for the dev team]"
Energy / Fatigue,"Let's figure out your energy","[Andrew: Open with empathy about feeling tired]","[Andrew: Explain the common causes of fatigue]","[Andrew: Your approach to addressing energy]",🌅 Morning Energy,⚡ All-Day Vitality,🏃 Athletic Performance,All,
Joint Pain / Joint Health,"Supporting your joints","[Andrew: Acknowledge how joint pain affects quality of life]","[Andrew: Explain what joints need - building blocks and inflammation support]","[Andrew: Your formulation approach and timeline]",🦵 Knees,🖐️ Hands,🔙 Back,All Joints,
Brain Health / Cognitive,"Let's support your brain health","[Andrew: Address brain fog, memory, focus concerns]","[Andrew: Explain what the brain needs - DHA, blood flow, antioxidants]","[Andrew: Your formulations and expected timeline]",🧠 Memory,🎯 Focus,🌫️ Mental Clarity,All,
Digestive Health,"Getting your digestion back on track","[Andrew: Acknowledge digestive frustration]","[Andrew: Explain gut health - bacteria, enzymes, gut lining]","[Andrew: Your product organization and approach]",🦠 Gut Flora,⚡ Enzyme Support,🛡️ Gut Lining,All,
Immune Support,"Strengthening your immune system","[Andrew: Address getting sick often or staying ahead]","[Andrew: Explain immune system needs - C, D3, Zinc, gut connection]","[Andrew: Your formulas for different levels of support]",🛡️ Daily Support,❄️ Seasonal,🦠 Active Support,All,
Heart Health / Cardiovascular,"Taking care of your heart","[Andrew: Your philosophy on heart health beyond cholesterol]","[Andrew: Explain what cardiovascular system needs]","[Andrew: Your formulations - Omega-3, CoQ10, Magnesium]",💓 Circulation,📊 Cholesterol,🩺 Blood Pressure,All,
Stress / Mood / Anxiety,"Supporting your stress and mood","[Andrew: Acknowledge stress and anxiety]","[Andrew: Explain brain chemistry and nutrient connection]","[Andrew: Your products - Adaptogens, Magnesium, B vitamins]",😌 Calm & Relaxation,🧘 Stress Adaptation,💭 Mood Support,All,
Brain Fog,"Clearing up that brain fog","[Andrew: Acknowledge the frustration of brain fog]","[Andrew: Explain causes - inflammation, blood flow, nutrients]","[Andrew: What you've found works and timeline]",🎯 Focus,🧠 Clarity,📝 Memory,All,
Always Tired,"Why you might be feeling tired all the time","[Andrew: Constant fatigue acknowledgment]","[Andrew: Explain it's your body telling you something - nutrients, sleep quality]","[Andrew: Common causes and your solutions]",🌅 Morning Fatigue,⚡ All-Day Exhaustion,🏃 After Exercise,All,
